instance_name,cut_mode,initial_gap,final_gap,gap_closure,total_cuts,total_iterations,total_time_ms,final_status,solution_category
cap51,GMI,2.30379076233089e-16,2.30379076233089e-16,0.0,0,0,4,optimal,LP Ottimo Intero
cap51,BEST,2.30379076233089e-16,2.30379076233089e-16,0.0,0,0,5,optimal,LP Ottimo Intero
cap61,GFC,1.2482667360800502e-16,1.2482667360800502e-16,0.0,0,0,3,optimal,LP Ottimo Intero
cap61,GMI,1.2482667360800502e-16,1.2482667360800502e-16,0.0,0,0,4,optimal,LP Ottimo Intero
cap61,BEST,1.2482667360800502e-16,1.2482667360800502e-16,0.0,0,0,4,optimal,LP Ottimo Intero
cap62,GFC,3.571754753386067e-16,3.571754753386067e-16,0.0,0,0,3,optimal,LP Ottimo Intero
cap62,GMI,3.571754753386067e-16,3.571754753386067e-16,0.0,0,0,3,optimal,LP Ottimo Intero
cap62,BEST,3.571754753386067e-16,3.571754753386067e-16,0.0,0,0,3,optimal,LP Ottimo Intero
cap63,GFC,2.30379076233089e-16,2.30379076233089e-16,0.0,0,0,5,optimal,LP Ottimo Intero
cap63,GMI,2.30379076233089e-16,2.30379076233089e-16,0.0,0,0,5,optimal,LP Ottimo Intero
cap63,BEST,2.30379076233089e-16,2.30379076233089e-16,0.0,0,0,4,optimal,LP Ottimo Intero
cap64,GFC,0.0,0.0,0.0,0,0,4,optimal,LP Ottimo Intero
cap64,GMI,0.0,0.0,0.0,0,0,3,optimal,LP Ottimo Intero
cap64,BEST,0.0,0.0,0.0,0,0,4,optimal,LP Ottimo Intero
cap81,GFC,1.461313627781198e-16,1.461313627781198e-16,0.0,0,0,5,optimal,LP Ottimo Intero
cap81,GMI,1.461313627781198e-16,1.461313627781198e-16,0.0,0,0,4,optimal,LP Ottimo Intero
cap81,BEST,1.461313627781198e-16,1.461313627781198e-16,0.0,0,0,5,optimal,LP Ottimo Intero
cap82,GFC,0.0,0.0,0.0,0,0,5,optimal,LP Ottimo Intero
cap82,GMI,0.0,0.0,0.0,0,0,5,optimal,LP Ottimo Intero
cap82,BEST,0.0,0.0,0.0,0,0,4,optimal,LP Ottimo Intero
cap83,GFC,0.0,0.0,0.0,0,0,6,optimal,LP Ottimo Intero
cap83,GMI,0.0,0.0,0.0,0,0,7,optimal,LP Ottimo Intero
cap83,BEST,0.0,0.0,0.0,0,0,6,optimal,LP Ottimo Intero
cap84,GFC,3.75961103568447e-16,3.75961103568447e-16,0.0,0,0,7,optimal,LP Ottimo Intero
cap84,GMI,3.75961103568447e-16,3.75961103568447e-16,0.0,0,0,5,optimal,LP Ottimo Intero
cap84,BEST,3.75961103568447e-16,3.75961103568447e-16,0.0,0,0,5,optimal,LP Ottimo Intero
cap91,GFC,1.461313627781198e-16,1.461313627781198e-16,0.0,0,0,4,optimal,LP Ottimo Intero
cap91,GMI,1.461313627781198e-16,1.461313627781198e-16,0.0,0,0,4,optimal,LP Ottimo Intero
cap91,BEST,1.461313627781198e-16,1.461313627781198e-16,0.0,0,0,5,optimal,LP Ottimo Intero
cap92,GFC,0.0,0.0,0.0,0,0,5,optimal,LP Ottimo Intero
cap92,GMI,0.0,0.0,0.0,0,0,6,optimal,LP Ottimo Intero
cap92,BEST,0.0,0.0,0.0,0,0,6,optimal,LP Ottimo Intero
cap93,GFC,0.0,0.0,0.0,0,0,5,optimal,LP Ottimo Intero
cap93,GMI,0.0,0.0,0.0,0,0,6,optimal,LP Ottimo Intero
cap93,BEST,0.0,0.0,0.0,0,0,5,optimal,LP Ottimo Intero
cap94,GFC,3.75961103568447e-16,3.75961103568447e-16,0.0,0,0,6,optimal,LP Ottimo Intero
cap94,GMI,3.75961103568447e-16,3.75961103568447e-16,0.0,0,0,6,optimal,LP Ottimo Intero
cap94,BEST,3.75961103568447e-16,3.75961103568447e-16,0.0,0,0,6,optimal,LP Ottimo Intero
inst_SMALL_UFL_0,GFC,0.009293680297394314,0.009293680297394314,0.0,0,1,1,optimal,Limite Raggiunto (Gap Residuo)
inst_SMALL_UFL_0,GMI,0.009293680297394314,0.009293680297394314,0.0,0,1,1,optimal,Limite Raggiunto (Gap Residuo)
inst_SMALL_UFL_0,BEST,0.009293680297394314,0.009293680297394314,0.0,0,1,1,optimal,Limite Raggiunto (Gap Residuo)
inst_SMALL_UFL_1,GFC,0.010152284263956814,0.0,0.010152284263956814,16,1,1,optimal,Risolto con Tagli
inst_SMALL_UFL_1,GMI,0.010152284263956814,0.0,0.010152284263956814,16,1,1,optimal,Risolto con Tagli
inst_SMALL_UFL_1,BEST,0.010152284263956814,0.0,0.010152284263956814,32,1,1,optimal,Risolto con Tagli
